,name,description,id,category
100,Spotify Japan 急上昇チャート,Spotify Japanのデイリー急上昇チャート。1月29日付。,37i9dQZF1DX9vYRBO9gjDe,pop
101,New Music Wednesday,"Ado、緑黄色社会、¥ellow Bucks & more! 今週も話題の新曲を最速で。
Cover: サカナクション *SPICE記事は<a href=""https://spice.eplus.jp/articles/298174"">こちら</a>",37i9dQZF1DWYBDycFJuxRt,pop
102,New Music Friday Japan,"The Chainsmokers, Jaymes Young, Disclosure & Zedd, James Blake and more! 話題の新曲を最速で。Cover: Charli XCX & Rina Sawayama",37i9dQZF1DXc57cuGAMEkA,pop
103,Mega Hit Mix,A mega mix of 75 favorites from the last few years! ,37i9dQZF1DXbYM3nMM0oPk,pop
104,just hits,"Current favorites and exciting new music. Cover: Tiësto, Ava Max",37i9dQZF1DXcRXFNfZr7Tp,pop
105,ディズニー・ヒッツ・ジャパン,日本でもおなじみの映画からの大ヒット曲から隠れた名曲まで、ディズニーミュージックの豊富なカタログからセレクトした公式プレイリスト！,37i9dQZF1DX1lolQkPIs5s,pop
106,Pop Rising,The hits of tomorrow are on Spotify today. Cover: Lauv ,37i9dQZF1DWUa8ZRTfalHk,pop
107,Tokyo Rising,Spotify Japan proudly introduces the freshest and most talented Japanese artists to the world.,37i9dQZF1DWX9u2doQ8Q2L,pop
108,Viral Hits,"Viral, trending and taking off.",37i9dQZF1DX2L0iB23Enbq,pop
109,Girl On Fire,女性ポップアイコンの名曲を一つのプレイリストに。cover: Avril Lavigne,37i9dQZF1DX4F2k37fMTyn,pop
110,*hits different*,music that just,37i9dQZF1DX6wk8dYln4y0,pop
111,The Ultimate Hit Mix,"Mixing the decades: 1990s, 2000s, 2010s and 2020s. Updated weekly.",37i9dQZF1DWUZMtnnlvJ9p,pop
112,アナと雪の女王,「アナと雪の女王」から珠玉の名曲を選出したプレイリスト。今までの名曲とともに、「アナと雪の女王」の世界を堪能しよう。,37i9dQZF1DWWyLFwwO8QB1,pop
