,0
94,"j_tracks Liner Voice+ マカロニえんぴつ「ハッピーエンドへの期待は」 <a href=""https://kompass.cinra.net/article/202201-macaroniempitsu"">Spotifyオリジナル企画「Liner Voice+」</a>。マカロニえんぴつ ニューアルバム『ハッピーエンドへの期待は』をはっとりが全曲ディープに解説！インタビュアー：金子厚武  Kompass連動記事は<a href=""https://kompass.cinra.net/article/202201-macaroniempitsu"">こちら</a>。"
95,pop Hot Hits Japan 世界中のトレンドと日本の最新ヒット曲をまとめてお届けします。Cover: マカロニえんぴつ
96,pop Next Up 前週大きく注目を浴びた楽曲。ネクスト・ヒットをいち早く。 cover: ザ・チェインスモーカーズ
97,pop On Replay -メガヒット・リプレイ- Top Hits Japan、もしくはTokyo Super Hitsに10週以上リスト・インしたロング&メガヒット曲をひとつのプレイリストに。cover: ドージャ・キャット x SZA
98,pop Weekly Buzz Tokyo 今週話題の楽曲をまとめてチェック！Cover: 宇多田ヒカル
99,pop Today's Top Hits Gunna is on top of the Hottest 50!
100,pop Spotify Japan 急上昇チャート Spotify Japanのデイリー急上昇チャート。1月29日付。
101,"pop New Music Wednesday Ado、緑黄色社会、¥ellow Bucks & more! 今週も話題の新曲を最速で。
Cover: サカナクション *SPICE記事は<a href=""https://spice.eplus.jp/articles/298174"">こちら</a>"
102,"pop New Music Friday Japan The Chainsmokers, Jaymes Young, Disclosure & Zedd, James Blake and more! 話題の新曲を最速で。Cover: Charli XCX & Rina Sawayama"
103,pop Mega Hit Mix A mega mix of 75 favorites from the last few years! 
104,"pop just hits Current favorites and exciting new music. Cover: Tiësto, Ava Max"
105,pop ディズニー・ヒッツ・ジャパン 日本でもおなじみの映画からの大ヒット曲から隠れた名曲まで、ディズニーミュージックの豊富なカタログからセレクトした公式プレイリスト！
106,pop Pop Rising The hits of tomorrow are on Spotify today. Cover: Lauv 
107,pop Tokyo Rising Spotify Japan proudly introduces the freshest and most talented Japanese artists to the world.
108,"pop Viral Hits Viral, trending and taking off."
109,pop Girl On Fire 女性ポップアイコンの名曲を一つのプレイリストに。cover: Avril Lavigne
110,pop *hits different* music that just
111,"pop The Ultimate Hit Mix Mixing the decades: 1990s, 2000s, 2010s and 2020s. Updated weekly."
112,pop アナと雪の女王 「アナと雪の女王」から珠玉の名曲を選出したプレイリスト。今までの名曲とともに、「アナと雪の女王」の世界を堪能しよう。
113,pop Fresh & Chill Discover your favorite new chill pop songs. Cover: Chelsea Cutler
114,"pop Everyday Favorites  Easy listening mix of recent hits, everyday favorites & some new songs you'll love. Cover: George Ezra"
115,"pop Pop Sauce before he was Elliot, Dominic Fike had us swooning over his music "
116,pop big on the internet iykyk
117,"pop Global X The sound of a new era. Discover rhythmic crossover hits from cultures around the world! Cover: Lunay, Alok, Juliette, Luis Fonsi, Lenny Tavárez"
118,"pop Monday Spin 音楽メディア<a href=""http://spincoaster.com/"">Spincoaster</a>が厳選したホットな新曲を毎週月曜日にお届け！"
119,pop BILLIONS CLUB Every song with over 1 billion streams on Spotify. Cover: Julia Michaels
120,pop Lorem some beautiful things this week. cover: tobias drayyyyyyyyyyy
121,pop Indie Pop New and approved indie pop. Cover: Rex Orange County
122,pop ピクサー・ヒッツ 感動的なピクサー作品の名曲や主題歌・挿入歌などをいつでも楽しめる、SpotifyとDisneyによる公式プレイリスト！
123,pop hyperpop hyperpop is a simulation. Cover: ericdoa
124,"pop young & free Indie, pop, and everything in between to bring you good energy and good vibes. Cover: chloe moriondo"
125,"pop Singled Out If it's buzzing, it's here. The hottest new songs of the week. Cover: Griff & Sigrid "
126,pop Retro Pop Featuring that new vintage. Cover: Jon Batiste
127,"pop Tiger Happy New Year!! Spotifyが贈る、2021年の総括 & 未来へ繋ぐ100曲。*SPICE連動記事は<a href=""https://spice.eplus.jp/articles/297145"">こちら</a>"
128,pop softly songs that will live rent free in your head ~ cover: Rex Orange County
129,pop songs to scream in the car the mood is to scream into your dashboard/choke back tears in the parking lot
130,"pop internet rewind Viral classics. Yep, we're at that stage."
131,"pop POP LIFE: 2021年を象徴する100曲をトークと共に Spotifyオリジナル<a href=""spotify:show:7nEkNCcSn3m6FyTVXfCQeP"">「POP LIFE:The Podcast」</a>と併せて、過去と未来を繋ぐ「今この瞬間」の体験をあなたに"
132,"pop Go Stream  - Spotify Japan 5周年記念プレイリスト  -  2016年11月10日にサービスを開始して以来、おかげさまでSpotify Japanは<a href=""https://youtu.be/FZNLVmLpjmI"">5周年</a>を迎えることができました。感謝の意を込めて、5年間のTop 100 Songsをプレイリストにしました。<a href=""https://youtu.be/FZNLVmLpjmI"">#SpotifyGoStream</a>"
133,pop RADAR Global From across the globe. New artists on the horizon. 
134,"pop アジア都市音楽ディスクガイド Asian City Music Disc Guide Based on the Book <a href=""https://diskunion.net/dubooks/ct/detail/DUBK317"">""Asian City Music Disc Guide"" (Tokyo: DU BOOKS). </a> City Pop,K-Pop,AOR,R&B..."
135,pop Pop Covers Reimagined pop covers of your favorite songs.  Cover: Niall Horan
136,"pop Our Generation :)
art: rex orange county + @doolittleillustrations"
137,"pop African Heat The tracks heating up the continent right now! Cover: <a href=""https://open.spotify.com/artist/75VKfyoBlkmrJFDqo1o2VY?si=5Z7nU1NlSleLiz1BSOb7Dw""> Fireboy DML </a>  "
138,"pop Afropop The hottest Afropop records on the planet.  Cover: <a href=""https://open.spotify.com/artist/2IK173RXLiCSQ8fhDlAb3s?si=oyl_2bWbSGeefiJWJl57HA""> Adekunle Gold </a>   "
139,pop Internet People The soundtrack to the Internet. Cover: Coco & Clair Clair
140,"pop All A Cappella Your favorite a cappella music from Pentatonix, the Glee cast, Pitch Perfect, and more. Just sing it! Cover: Pentatonix"
141,pop ノット・オーケー/I Am Not Okay with This Netflixオリジナルシリーズ『ノット・オーケー』プレイリスト 本編使用楽曲 | Music from Netflix Original Series “I Am Not Okay with This”
142,pop Young Nashville Music from Nashville's emerging Singers and Songwriters across the musical spectrum.  Cover: Leah Marie Mason
143,pop Radar India Most exciting artists from the Indian Indie scene. Cover : Shadow and Light
144,"mood せきらら 綺麗事は聞きたくない。本音でつづられた新世代の歌。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)"
145,mood Winter is Here #真冬のサントラ 寒い季節がやってきました。そんな凍える日々を少しだけ暖めるような冬の名曲たちを一つのプレイリストに。
146,mood 元気Booster 今日1日を、元気に迎えるためのプレイリスト！
147,mood Mid Tempo Magic 爽やかな1日を、スロー〜ミッドテンポな音楽と共に心地よくスタートしませんか？？
148,"mood 恋するプレイリスト 恋しているあなたの気持ちに寄り添う、素敵なラブソングを集めました。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)"
149,"mood 夕方ジェネレーション 理由のない焦り、苛立ち。わけもなく叫びたくなる。思春期を過ごす全てのティーンに贈る、帰り道の応援歌。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)"
150,mood 都会の空と音楽と 都会の空を見上げると聴こえてくる音楽。 cover painting: 永井博
151,"mood ガールズ・ナイト ホームパーティーを楽しむためのプレイリスト。女子会、ガールズナイトのお供に。

"
152,"mood ストロボ ストロボライトのように光り輝く楽曲で、今日という日をスタートしよう。 Cover art painted by <a href=""spotify:artist:2IUl3m1H1EQ7QfNbNWvgru"">Vaundy</a>"
153,mood メランコリー - Ballads in Blue- 悲しい気持ち。せつない気持ち。J-Trackの極上バラードを一つのプレイリストに。
154,mood JUICE 乾いた喉を潤す、フレッシュで(ヒップ)ポップな新時代のVibesを。
155,"mood まどろみの中で いろいろあるかも知れないけれど、ちょっと休憩しませんか？チルな楽曲でゆったりまったりなひと時を。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)"
156,mood Home Bound 帰宅中に、ゆったりと落ち着いたセレクションをお楽しみ下さい！
157,mood Have a Great Day! Feel great with these timelessly fun songs!
158,"mood 孤独の音が聴こえる 陰キャでもいい。集団になじめなくてもいい。ひとりで過ごす時間にも、音楽はそっと寄り添ってくれる。 Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)"
159,"mood Your Favorite Coffeehouse Curl up in your favorite spot with some sweet, mellow tunes..."
160,mood Energy Booster: K-Pop Need to get your energy level up? This will help!
161,"mood Coffee and Piano Soft (the quietest of them all), subtle, no words needed. Take a sip and enjoy the music of composers from around the world."
162,mood Feelin' Good Feel good with this positively timeless playlist!
163,mood Acoustic Melodies Tokyo アコースティック・メロディーズ。ゆったりとしたアコースティックサウンドと共に、爽やかな1日を迎えませんか？
164,mood Happy Stroll 音楽をポケットに詰めて散歩に出かけよう。きっと新しい景色が見えてくるはず。
165,mood Energy Booster: Pop Need to get your energy level up? This will help!
166,mood Confidence Boost You're on top of the world. Don't forget it.
167,mood Chilled R&B Chilled R&B jams for your most relaxed moods.
168,mood 半身浴ノススメ 忙しかった1日の終わりは、半身浴と心に沁みる音楽でゆったりリラックス。
169,mood Office Studio オフィスBGM用プレイリスト。仕事効率が上がるよう設計しました。
170,mood Winter Classical Japan 今年の冬に聴きたい日本のクラシックを集めました。日増しに寒くなる季節に寄り添う楽曲をお楽しみください。
171,mood Happy Favorites Put a smile on your face with these happy tunes from the last 30 years. 
172,"mood Wake Up Happy Set the mood of your day with these awesome, happy songs!"
173,"mood Chill Tracks Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>, with hand-curated picks from Lane 8. "
174,mood Cozy Blend Enjoy a break with some relaxing soft songs.
175,mood 静寂と黄昏 夜になる一歩手前の時刻に一瞬でもリラックスできるような、音響系オルタナティブとクラシックミュージックを。
176,mood Couleur Cafe  -クーラー・カフェ- 優しいボッサのリズム、やわらかな音色と共に、ゆったりと時が流れる至福のカフェタイムを。
177,mood 猫とお昼寝 Afternoon Catnap 例えば、部屋で猫と昼寝をするように、ゆったりとしたエレクトロチルで小休憩しませんか？？
178,"mood Feelin' Myself The hip-hop playlist that's a whole mood. Art By Laci Jordan; Cover: Coi Leray
"
179,"mood aloe Groove-heavy, soothing tunes for the soul"
180,mood Cozy Jazz Soft and cozy vocal and instrumental jazz songs. Cover: Melody Gardot
181,"mood Morning Rhythm Start your morning right with this collection of funky, soulful, jazzy tunes!"
182,mood Energy Booster: Dance Need to get your energy level up? This will help!
183,mood Wake Up Gently Wake up in your own pace with piano music.
184,mood Jazz Vibes The original chill instrumental beats playlist.
185,"mood Alone Again Being alone (again) can be tough, but these songs will keep you company."
186,mood Hangover Detox by block.fm 二日酔いに効くサウンド…そんなものがあるのだろうか？でもコレなら確かに効くかも！をテーマに、Spotifyとblock.fmがお届けするチルアウトでスロウなコラボプレイリスト。毎週土曜日更新！
